id,name,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,state_fullname
1,Tim Elliot,2015-01-02,shot,gun,53.0,M,A,Shelton,WA,True,attack,Not fleeing,False,-123.122,47.247,True,Washington
2,Lewis Lee Lembke,2015-01-02,shot,gun,47.0,M,W,Aloha,OR,False,attack,Not fleeing,False,-122.892,45.487,True,Oregon
3,John Paul Quintero,2015-01-03,shot and Tasered,unarmed,23.0,M,H,Wichita,KS,False,other,Not fleeing,False,-97.281,37.695,True,Kansas
4,Matthew Hoffman,2015-01-04,shot,toy weapon,32.0,M,W,San Francisco,CA,True,attack,Not fleeing,False,-122.422,37.763,True,California
5,Michael Rodriguez,2015-01-04,shot,nail gun,39.0,M,H,Evans,CO,False,attack,Not fleeing,False,-104.692,40.384,True,Colorado
6,Kenneth Joe Brown,2015-01-04,shot,gun,18.0,M,W,Guthrie,OK,False,attack,Not fleeing,False,-97.423,35.877,True,Oklahoma
7,Kenneth Arnold Buck,2015-01-05,shot,gun,22.0,M,H,Chandler,AZ,False,attack,Car,False,-111.841,33.328,True,Arizona
8,Brock Nichols,2015-01-06,shot,gun,35.0,M,W,Assaria,KS,False,attack,Not fleeing,False,-97.564,38.704,True,Kansas
9,Autumn Steele,2015-01-06,shot,unarmed,34.0,F,W,Burlington,IA,False,other,Not fleeing,True,-91.119,40.809,True,Iowa
10,Leslie Sapp III,2015-01-06,shot,toy weapon,47.0,M,B,Knoxville,PA,False,attack,Not fleeing,False,-79.991,40.413,True,Pennsylvania
11,Patrick Wetter,2015-01-06,shot and Tasered,knife,25.0,M,W,Stockton,CA,False,attack,Not fleeing,False,-121.299,37.93,True,California
12,Ron Sneed,2015-01-07,shot,gun,31.0,M,B,Freeport,TX,False,attack,Not fleeing,False,-95.369,28.955,True,Texas
13,Hashim Hanif Ibn Abdul-Rasheed,2015-01-07,shot,knife,41.0,M,B,Columbus,OH,True,other,Not fleeing,False,-82.885,39.999,True,Ohio
14,Nicholas Ryan Brickman,2015-01-07,shot,gun,30.0,M,W,Des Moines,IA,False,attack,Car,False,-93.609,41.582,True,Iowa
15,Omarr Julian Maximillian Jackson,2015-01-07,shot,gun,37.0,M,B,New Orleans,LA,False,attack,Foot,True,-90.012,30.022,True,Louisiana
16,Loren Simpson,2015-01-08,shot,,28.0,M,W,Huntley,MT,False,undetermined,Not fleeing,False,-108.315,45.859,True,Montana
17,James Dudley Barker,2015-01-08,shot,shovel,42.0,M,W,Salt Lake City,UT,False,attack,Not fleeing,True,-111.872,40.772,True,Utah
18,Artago Damon Howard,2015-01-08,shot,unarmed,36.0,M,B,Strong,AR,False,attack,Not fleeing,False,-92.359,33.111,True,Arkansas
19,Thomas Hamby,2015-01-08,shot,gun,49.0,M,W,Syracuse,UT,False,attack,Not fleeing,True,-112.083,41.083,True,Utah
20,Jimmy Foreman,2015-01-09,shot,gun,71.0,M,W,England,AR,False,attack,Not fleeing,False,-91.966,34.542,True,Arkansas
21,Andy Martinez,2015-01-09,shot,gun,33.0,M,H,El Paso,TX,False,attack,Not fleeing,False,-106.439,31.858,True,Texas
22,Tommy Smith,2015-01-11,shot,gun,39.0,M,W,Arcola,IL,True,attack,Not fleeing,False,-88.304,39.692,True,Illinois
23,Brian  Barbosa,2015-01-11,shot,gun,23.0,M,H,South Gate,CA,False,attack,Not fleeing,False,-118.183,33.951,True,California
24,Salvador Figueroa,2015-01-11,shot and Tasered,gun,29.0,M,H,North Las Vegas,NV,False,attack,Foot,False,-115.116,36.185,True,Nevada
25,John Edward O'Keefe,2015-01-13,shot,gun,34.0,M,W,Albuquerque,NM,False,attack,Foot,True,-106.586,35.095,True,New Mexico
26,Richard McClendon,2015-01-13,shot,knife,43.0,M,W,Jourdanton,TX,True,other,Not fleeing,False,-98.542,28.912,True,Texas
27,Marcus Golden,2015-01-14,shot,,24.0,M,B,St. Paul,MN,False,attack,Not fleeing,False,-93.094,44.958,True,Minnesota
28,Michael Goebel,2015-01-14,shot,,29.0,M,W,Franklin County,MO,False,attack,Not fleeing,False,-90.794,38.317,True,Missouri
29,Mario Jordan,2015-01-14,shot,gun,34.0,M,B,Chesapeake,VA,True,attack,Not fleeing,False,-76.348,36.783,True,Virginia
30,Talbot Schroeder,2015-01-14,shot,knife,75.0,M,W,Old Bridge,NJ,False,attack,Not fleeing,False,-74.301,40.405,True,New Jersey
31,Robert Edwards,2015-01-14,shot,gun,68.0,M,W,Lake Jackson,TX,False,attack,Not fleeing,False,-95.428,29.031,True,Texas
32,Jeffrey R. Nielson,2015-01-14,shot,knife,34.0,M,W,Draper,UT,False,attack,Not fleeing,True,-111.887,40.54,True,Utah
33,Donte Sowell,2015-01-15,shot,gun,27.0,M,B,Indianapolis,IN,False,attack,Foot,False,-85.991,39.826,True,Indiana
34,Kavonda Earl Payton,2015-01-15,shot,gun,39.0,M,B,Aurora,CO,False,attack,Not fleeing,False,-104.772,39.726,True,Colorado
35,Quincy Reed Reindl,2015-01-15,shot,gun,24.0,M,W,Bloomington,MN,True,attack,Not fleeing,False,-93.358,44.825,True,Minnesota
36,Jose Ceja,2015-01-15,shot,knife,36.0,M,H,Fairfield,CA,True,other,Not fleeing,False,-121.997,38.266,True,California
37,Nathan Massey,2015-01-15,shot,gun,33.0,M,W,Evangeline Parish,LA,False,attack,Not fleeing,False,-92.441,30.748,True,Louisiana
38,Scott Hall,2015-01-16,shot,gun,41.0,M,W,Mabank,TX,False,attack,Car,False,-96.069,32.407,True,Texas
39,Zaki Shinwary,2015-01-16,shot and Tasered,knife,48.0,M,O,Fremont,CA,False,other,Not fleeing,False,-122.06,37.588,True,California
40,Terence Walker,2015-01-17,shot,gun,21.0,M,B,Muskogee,OK,False,attack,Foot,True,-95.394,35.766,True,Oklahoma
41,Pablo Meza,2015-01-17,shot,gun,24.0,M,H,Los Angeles,CA,False,attack,Not fleeing,False,-118.233,34.038,True,California
42,Daniel Brumley,2015-01-17,shot,knife,27.0,M,H,Fort Worth,TX,False,attack,Not fleeing,False,-97.334,32.811,True,Texas
43,Jonathan Guillory,2015-01-18,shot,gun,32.0,M,W,Maricopa,AZ,True,attack,Not fleeing,False,-112.042,33.085,True,Arizona
44,Carter Castle,2015-01-18,shot and Tasered,gun,67.0,M,W,Gunlock,KY,True,attack,Not fleeing,False,-82.921,37.565,True,Kentucky
45,Paul Campbell,2015-01-19,shot,knife,49.0,M,W,Weymouth,MA,False,attack,Not fleeing,False,-70.932,42.257,True,Massachusetts
46,Dewayne Carr,2015-01-20,shot,,42.0,M,B,Scottsdale,AZ,False,other,Car,False,-111.909,33.509,True,Arizona
47,Todd Allen Hodge,2015-01-21,shot,gun,36.0,M,W,Hemet,CA,False,attack,Not fleeing,False,-116.958,33.742,True,California
48,Miguel Angel de Santos-Rodriguez,2015-01-21,shot,gun,36.0,M,H,Chapeno,TX,False,attack,Foot,False,-99.123,26.559,True,Texas
49,Isaac Holmes,2015-01-21,shot,gun,19.0,M,B,St. Louis,MO,False,attack,Not fleeing,False,-90.25,38.665,True,Missouri
50,Andrew Toto,2015-01-21,shot,gun,54.0,M,W,Derry,NH,True,attack,Not fleeing,False,-71.337,42.908,True,New Hampshire
51,Tiano Meton,2015-01-22,shot,toy weapon,25.0,M,B,Sierra Blanca,TX,False,attack,Car,False,-105.028,31.08,True,Texas
52,Kristiana Coignard,2015-01-22,shot and Tasered,knife,17.0,F,W,Longview,TX,True,other,Not fleeing,False,-94.746,32.495,True,Texas
53,Demaris Turner,2015-01-23,shot,,29.0,M,B,Fort Lauderdale,FL,False,other,Not fleeing,False,-80.212,26.15,True,Florida
54,Jose Antonio Espinoza Ruiz,2015-01-23,shot,knife,56.0,M,H,Levelland,TX,False,other,Not fleeing,False,-102.369,33.578,True,Texas
55,Robert Francis Mesch,2015-01-23,shot,gun,61.0,M,W,Austin,TX,True,attack,Not fleeing,False,-97.789,30.167,True,Texas
56,Daryl Myler,2015-01-24,shot,gun,45.0,M,W,Rexburg,ID,False,attack,Not fleeing,False,-111.78,43.826,True,Idaho
57,Darin Hutchins,2015-01-24,shot,knife,26.0,M,B,Baltimore,MD,True,other,Not fleeing,False,-76.648,39.284,True,Maryland
58,Wendell King,2015-01-24,shot,gun,40.0,M,W,Fort Worth,TX,False,attack,Not fleeing,False,-97.38,32.678,True,Texas
59,Orlando Jude Lopez,2015-01-25,shot,gun,26.0,M,H,Pueblo,CO,False,attack,Car,False,-104.574,38.285,True,Colorado
60,William Campbell,2015-01-25,shot,gun,59.0,M,,Winslow,NJ,False,attack,Not fleeing,False,-74.929,39.749,True,New Jersey
61,Jessie Hernandez,2015-01-26,shot,vehicle,17.0,F,H,Denver,CO,False,other,Not fleeing,False,-104.909,39.754,True,Colorado
62,Raymond Kmetz,2015-01-26,shot,gun,68.0,M,W,New Hope,MN,True,attack,Not fleeing,False,-93.386,45.036,True,Minnesota
63,Joshua Omar Garcia,2015-01-26,shot,unarmed,24.0,M,H,Tahoka,TX,False,other,Car,False,-101.666,33.166,True,Texas
64,David Garcia,2015-01-26,shot,knife,34.0,M,H,Wasco,CA,True,other,Not fleeing,False,-119.335,35.589,True,California
65,Tiffany Terry,2015-01-27,shot,knife,39.0,F,W,Omaha,NE,True,attack,Not fleeing,False,-95.99,41.243,True,Nebraska
66,Nicolas Leland Tewa,2015-01-27,shot,,26.0,M,N,Phoenix,AZ,False,other,Not fleeing,False,-112.113,33.495,True,Arizona
67,Chris Ingram,2015-01-27,shot,gun,29.0,M,W,Morenci,AZ,False,attack,Not fleeing,False,-109.326,33.054,True,Arizona
68,Jermonte Fletcher,2015-01-27,shot,gun,33.0,M,B,Columbus,OH,False,attack,Not fleeing,False,-82.997,39.879,True,Ohio
69,Alan Lance Alverson,2015-01-28,shot,gun,45.0,M,W,Sunset,TX,False,attack,Not fleeing,False,-97.828,33.47,True,Texas
70,Cody Karasek,2015-01-28,shot,gun,26.0,M,W,Rosenberg,TX,False,attack,Not fleeing,False,-95.784,29.558,True,Texas
71,Matautu Nuu,2015-01-28,shot and Tasered,hammer,35.0,M,A,Stockton,CA,True,attack,Not fleeing,False,-121.316,38.029,True,California
72,Alan James,2015-01-29,shot,gun,31.0,M,W,Wyoming,MI,True,attack,Not fleeing,False,-85.66,42.894,True,Michigan
73,Ralph Willis,2015-01-29,shot,unarmed,42.0,M,W,Stillwater,OK,False,other,Foot,False,-97.05,36.121,True,Oklahoma
74,John Barry Marshall,2015-01-30,shot,gun,48.0,M,W,Billings,MT,False,attack,Foot,False,-108.513,45.79,True,Montana
75,Victor Manuel Reyes,2015-01-31,shot,gun,31.0,M,H,Houston,TX,False,attack,Not fleeing,False,-95.72,29.861,True,Texas
76,Edward Donnell Bright,2015-01-31,shot and Tasered,knife,54.0,M,B,Randallstown,MD,True,other,Not fleeing,False,-76.821,39.38,True,Maryland
77,Francis Murphy Rose III,2015-02-02,shot,gun,42.0,M,W,Apple Valley,CA,True,attack,Not fleeing,False,-117.177,34.417,True,California
78,Jacob Haglund,2015-02-02,shot,gun,17.0,M,W,Bay City,MI,False,attack,Not fleeing,False,-83.873,43.599,True,Michigan
79,David Kassick,2015-02-02,shot and Tasered,unarmed,59.0,M,W,Hummelstown,PA,False,other,Foot,False,-76.713,40.273,True,Pennsylvania
80,Ledarius D. Williams,2015-02-03,shot,gun,23.0,M,B,St. Louis,MO,False,attack,Foot,False,-90.21,38.75,True,Missouri
81,Yuvette Henderson,2015-02-03,shot,gun,38.0,F,B,Emeryville,CA,False,attack,Car,False,-122.284,37.827,True,California
82,Dewayne Deshawn Ward,2015-02-03,shot,knife,29.0,M,B,Antioch,CA,True,other,Not fleeing,False,-121.818,37.999,True,California
